НА:2026-09-11T23:59:59
"контрагент","1.1.Себестоимость продуктовая","1.9.Ремонт/Обслуживание производ.оборудования","2.4.Маркетинг","2.5.1.Расходы по реализации Прочие","2.5.6.Акция ФЗ","2Себестоимость (прочее)","3.3.1.Админ.расходы ПРОЧИЕ","3050 ВФП","4-Подотчет","5-Дебит.задолж.","7- Основные средства","99Главная касса","Авансы выданные","В/групповая реализация товаров и услуг","Выручка","Денежные средства","Доход от возмещение расходов на содержание гост.туалетов","Доходы прочие (аренда,ЧЛ и проч.)","Задолженность перед поставщиками","Зарплата","Касса Взаиморасчеты","Крафт Расходы","Кристал Каспии","Начисл БонусыП","Расчеты с гостями","Текущие расчеты с сотрудниками","Торговая выручка","Торговые кассы","ФЗ Жусан Банк","ФЗ Каспи","Цой Д.Л.Каспи","итого"
"235",0,0,0,0,0,0,0,0,0,0,0,-3005072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3005072
"23985",0,0,0,0,0,0,0,0,0,0,0,-1487437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-816499,0,-2303936
"24",0,0,0,0,0,0,0,0,0,0,0,-910991,0,0,0,0,0,0,0,198000,0,0,0,0,0,0,0,0,0,-101433,0,-814424
"243",0,0,0,0,0,0,0,0,0,0,0,-392735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-392735
"247",0,0,0,0,0,0,0,0,0,0,0,-1307736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-539562,0,-1847298
"2479",0,0,0,0,0,0,0,0,0,0,0,-438935,0,0,0,0,0,0,0,294980,0,0,0,0,0,0,0,0,0,0,0,-143955
"25",0,0,0,0,0,0,0,0,0,0,0,-1350759,0,0,0,0,0,0,0,0,0,0,0,0,0,-6150,0,0,0,-65000,0,-1421909
"25191",0,0,0,0,0,0,0,0,0,0,0,-4396023,0,0,0,0,0,0,0,11860000,0,0,0,0,0,0,0,0,0,0,0,7463977
"25399156",0,0,0,0,0,0,0,0,1100000,0,0,-914000,0,0,0,0,0,0,0,2481818,0,0,0,0,0,-1412523,0,0,0,0,0,1255295
"25597",0,0,0,0,0,0,0,0,0,0,0,-1281810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-779615,0,-2061425
